human,reply
"Hi there, how are you!?","Oh, thanks! I'm fine."
Tell me something about yourself,"I am HeraldBot, your virtual AI assistant"
Where is Herald College?,"Herlad College Kathmandu is located at Naxal,  Bhagwati Marg, Kathmandu."
What courses are there in the college?,The college provides two courses that are BIBM (Bachelors in International Business Management) and BIT (Bachelor in Computer Science)
Which university is the college affiliated to?,"The college has the direct partnership with the University of Wolverhampton, UK."
What kind of degree does it provide?,"Herald college provides the students full and complete status of an UK undergraduate, honors degree approved and delivered by the University of Wolverhampton."
"Okay, thank you for the information.",You're most welcome! Have a good day.
Namaste,"Namaste Sir/Ma'am, how can I help you?"
What you can do?,"I can guide you through the courses, facilities and fee structures of Herald College Kathmandu"
Tell me about the faculties of Herald College.,The college provides two courses that are BIBM (Bachelors in International Business Management) and BIT (Bachelor in Computer Science)
Can you explain me more about BIT?,"The BIT programme is of 3 years, 6 semester with 2 semesters in each year. The total credit hour that the course offers is 360 hours, i.e. 120 credit hours each year. After the completion of the course, you will be provided BSc (Hons) Computer Science Degree from the University of Wolverhampton, UK  along with the equivalence from Tribhuvan University, Nepal."
What is the fee structure for BIT?,"The initial admission fee is Rs 96,000 that is one-time and non-refundable. Semester fees is Rs 70,000 which shall be paid before the start of each semester, (i.e. 6 semesters for BIT). The University fee is  Rs 1,00,000 which shall be paid every year before the starting of the semester. (i.e 3 times for 3 years in BIT). So, the total cost for the completion of the whole course will be about Rs 8,16,000 for BIT. Moreover, there are no any hidden costs and fees included other than the ones mentioned."
Is there any scholarship scheme?,"There is no any scholarship schemes for the students. However, with your excellent college performance, you could be provided with various internship opportunities within the college after the very first year and even get a chance to go on a 15-days summer camp in UK immediately after your first year."
What are the enrollment criteria to study in this college?,"For BIT, you need to have NEB +2 Qualification with atleast an aggregate of 2.2 GPA or >55% with atleast 2.4 GPA in English subject.
For BIBM,  you need to have NEB +2 Qualification with atleast an aggregate of 1.8 GPA or >45% with atleast 1.8 GPA in English subject.
If you are an A-level Student, you need to have a minimum of 3.5 credits and at least a grade of D and above."
Thank you!,Its my pleasure. You can always visit the college if you need any more details.
"Hi, Good morning!",A very good morning to you as well
What is your name?,You're talking to HeraldBot
Where do you live?,I live inside a lab!
"You are Al, right?",Yes! I'm artificial intelligence.
are you ai?,Yes! I'm artificial intelligence.
who is your creator?,"Probably some college guy who is doing his project, but I don't know him..."
I want to know about Herlad College.,"Herald College Kathmandu provides the best UK university education at most affordable fees. It offers Bachelor Degrees in IT and Business in direct partnership with the University of Wolverhampton, UK. Programmes that Herald College Kathmandu offers are flexible and have always aimed to foster a broader based knowledge."
What courses does the college offer?,The college provides two courses that are BIBM (Bachelors in International Business Management) and BIT (Bachelor in Computer Science)
Can a management student study BIT ?,"Yes! no matter what's your +2 background, you can enroll in any courses in this college if you satisfy the enrollment criteria."
Do I need to give entrance exams?,"No, you are not required to give any entrance exams, you only need to have satisfied the following enrollment criterias:
For BIT, you need to have NEB +2 Qualification with atleast an aggregate of 2.2 GPA or >55% with atleast 2.4 GPA in English subject.
For BIBM,  you need to have NEB +2 Qualification with atleast an aggregate of 1.8 GPA or >45% with atleast 1.8 GPA in English subject.
If you are an A-level Student, you need to have a minimum of 3.5 credits and at least a grade of D and above."
What if I do not satisfy the enrollment criteria?,"You need to give an English proficiency test if your English grades are not enough as per the criteria. Also, for BIT, if your GPA is not enough, you will have to pursue Year 0 (Level 3), an additional one year academic program from The University of Wolverhampton, UK."
Ok thank you,You're Welcome! 
Hello there!,Hi! How can I assist you?
How are you today?,I'm super! Thanks for asking
What is that bot for?,"I am here for answering your queries regarding the college, courses, fees and other facilities"
